"%1 Details","%1 Gegevens"
"%1 [Trace ID: %2]","%1 [Trace-ID: %2]"
"%1 could not be reached to verify this API key. This is a connection problem rather than necessarily a problem with the key. Check that this store can make outbound requests, then try again.","%1 kon niet worden bereikt om deze API-sleutel te verifiëren. Dit is een verbindingsprobleem en niet noodzakelijk een probleem met de sleutel. Controleer of deze winkel uitgaande verzoeken kan versturen en probeer het opnieuw."
"%1 could not verify this API key because the service returned an error (HTTP %2). The key itself may be fine, so please try again shortly.","%1 kon deze API-sleutel niet verifiëren omdat de service een fout heeft geretourneerd (HTTP %2). De sleutel zelf is mogelijk in orde, probeer het dus binnenkort opnieuw."
"%1 customer address updated.","%1 klantadres bijgewerkt."
"%1 order has been marked as cancelled","%1 bestelling is gemarkeerd als geannuleerd"
"%1 order invoice has not been issued yet.","%1 bestelfactuur is nog niet verzonden."
"%1 order marked as completed.","%1 bestelling gemarkeerd als voltooid."
"%1 order marked as partially completed.","%1 bestelling gemarkeerd als gedeeltelijk voltooid."
"%1 payment has been verified by the customer.","%1 betaling is door de klant geverifieerd."
"%1 requires whole order to be shipped before it can be fulfilled.","%1 vereist dat de gehele bestelling wordt verzonden voordat deze kan worden uitgevoerd."
"%1 returned an unexpected response while verifying this API key, so it could not be confirmed. Please try again shortly.","%1 heeft een onverwacht antwoord geretourneerd tijdens het verifiëren van deze API-sleutel, dus deze kon niet worden bevestigd. Probeer het binnenkort opnieuw."
"%1 terms and conditions","%1 voorwaarden en condities"
"* Required Fields","* Verplichte velden"
"API Key","API-sleutel"
"API key is missing","API-sleutel ontbreekt"
"API key is valid","API-sleutel is geldig"
"Show PO number field","Veld voor PO-nummer weergeven"
"This API key could not be verified by %1 (HTTP %2).","Deze API-sleutel kon niet worden geverifieerd door %1 (HTTP %2)."
"This API key was rejected by %1. It may be invalid, expired, or issued for a different environment.","Deze API-sleutel is geweigerd door %1. De sleutel is mogelijk ongeldig of verlopen, of is uitgegeven voor een andere omgeving."
"Show department field","Afdelingsveld weergeven"
"Show order note field","Bestelnotitieveld weergeven"
"Show project field","Projectveld weergeven"
"Allowed countries","Toegestane landen"
"Cannot convert surcharge from %1 to %2: no exchange rate is currently available.","Kan de toeslag niet converteren van %1 naar %2: er is momenteel geen wisselkoers beschikbaar."
"Choose whether to enable this payment method for all allowed countries or only specific ones.","Kies of je de betaalmethode voor alle toegestane of specifieke landen wilt inschakelen."
"Country availability","Beschikbaarheid per land"
"Select the countries where this payment method should be available.","Selecteer de landen waar deze betaalmethode beschikbaar moet zijn."
"Amount is missing","Bedrag ontbreekt"
"Branding","Merknaam"
"Business Invoice","Zakelijke factuur"
"Buy now, receive your goods, pay your invoice later.","Koop nu, ontvang uw goederen, betaal uw factuur later."
"Checking availability","Beschikbaarheid controleren"
"Check last 100 debug log records","Controleer de laatste 100 debug-logboek records"
"Check last 100 error log records","Controleer de laatste 100 foutenlogboek records"
"City","Stad"
"%1 is not valid.","%1 is niet geldig."
"%1: %2.","%1: %2."
"Click here to log in or sign up as a Sole Trader.","Klik hier om in te loggen of u aan te melden als zelfstandig ondernemer."
"Company Number","Bedrijfsnummer"
"Company Name","Bedrijfsnaam"
"Company number:","Bedrijfsnummer:"
"Company name:","Bedrijfsnaam:"
"Could not initiate capture with %1","Kon geen vastlegging starten met %1"
"Could not initiate refund with %1","Kon geen terugbetaling starten met %1"
"Could not update %1 order status to cancelled. Please contact support with order ID %2. Error: %3","Kon %1 orderstatus niet updaten naar geannuleerd. Neem contact op met support met bestelnummer %2. Fout: %3"
"Country","Land"
"Credit Note","Creditnota"
"Debug Mode","Debug-modus"
"Department","Afdeling"
"Download","Download"
"Download as .txt file","Downloaden als .txt-bestand"
"Email Address","E-mailadres"
"Autofill company address","Bedrijfsadres automatisch invullen"
"Enable company search in address entry","Bedrijf zoeken bij adresinvoer inschakelen"
"Enable order intent","Bestelintentie inschakelen"
"Enable payment method","Betaalmethode inschakelen"
"Validate tax subtotals","BTW-subtotalen valideren"
"Enter company name to search","Voer bedrijfsnaam in om te zoeken"
"Enter details manually","Gegevens handmatig invoeren"
"Enter manually","Handmatig invoeren"
"Environment","Omgeving"
"Failed to refund order with %1. Reason: %2","Het is niet gelukt om de bestelling met %1 terug te betalen. Reden: %2"
"Failed to update %1 customer address: %2","Kon het adres van klant %1 niet bijwerken: %2"
"Find out more","Meer informatie"
"First Name","Voornaam"
"Fulfilment order status","Status van vervulling bestelling"
"Fulfilment trigger","Trigger voor vervulling"
"General","Algemeen"
"Invalid API response from %1.","Ongeldige API-respons van %1."
"Invoice","Factuur"
"Invoice purchase with %1 is not available for this order.","Aankoop op factuur met %1 is niet beschikbaar voor deze bestelling."
"Last 100 debug log lines","Laatste 100 debug-logregels"
"Last 100 error log records","Laatste 100 foutenlogboek records"
"Last Name","Achternaam"
"Log is empty","Logboek is leeg"
"OK","OK"
"On Completion","Bij voltooiing"
"On Invoice","Op factuur"
"On Shipment","Bij verzending"
"Order ID","Bestelnummer"
"Order Note","Bestelnotitie"
"Order edit request was accepted by %1","Bestellingswijzigingsverzoek is geaccepteerd door %1"
"PO Number","PO-nummer"
"Payment","Betaling"
"Payment method","Betaalmethode"
"Phone Number","Telefoonnummer"
"Place Order","Bestelling plaatsen"
"Please try again later.","Probeer het later opnieuw."
"Production","Productie"
"Project","Project"
"Registered Organisation","Geregistreerde organisatie"
"Sandbox","Zandbak"
"Search","Zoekopdracht"
"Search for company","Zoek naar bedrijf"
